% pp non-regulatory
% met non_regulatory
% pd regulatory
% methylation non-regulatory
% phosphorylation non-regulatory
% dephosphorylation non-regulatory
% demethylation non-regulatory
% srna non-regulatory
% expression non-regulatory
% activation non-regulatory
% ubiquination non-regulatory
% glycosylation non-regulatory
% inhibition non-regulatory
% sigma non-regulatory
YLR128W,YOL133W,pp,undirected,0.985
YPL237W,YNL178W,pp,undirected,0.932
YLR441C,YHR141C,pp,undirected,0.943
YCR031C,YOL121C,pp,undirected,0.943
YGL011C,YMR314W,pp,undirected,0.985
YPL079W,YDL061C,pp,undirected,0.943
YLR075W,YGR148C,pp,undirected,0.955
YER146W,YOR159C,pp,undirected,0.985
YFR031C-A,YHL015W,pp,undirected,0.955
YNL302C,YLR325C,pp,undirected,0.955
YPR110C,YPR187W,pp,undirected,0.969
YOR142W,YLL041C,pp,undirected,0.962
YGL116W,YLR127C,pp,undirected,0.969
YNL005C,YNL284C,pp,undirected,0.942
YBR254C,YDR246W,pp,undirected,0.985
YPL220W,YPL198W,pp,undirected,0.943
YOR312C,YPL249C-A,pp,undirected,0.943
YKL156W,YJL191W,pp,undirected,0.943
YKL180W,YLR009W,pp,undirected,0.94
YER082C,YJL191W,pp,undirected,0.948
YOL039W,YIL148W,pp,undirected,0.943
YIL069C,YGL135W,pp,undirected,0.943
YMR143W,YMR260C,pp,undirected,0.955
YOR346W,YBR088C,pp,undirected,0.969
YIL143C,YJL140W,pp,undirected,0.966
YGR162W,YER165W,pp,undirected,0.955
YPL143W,YPR102C,pp,undirected,0.943
YER025W,YOR096W,pp,undirected,0.955
YPR102C,YJR094W-A,pp,undirected,0.943
YBR082C,YKL010C,pp,undirected,0.944
YKL058W,YPL122C,pp,undirected,0.985
YJL140W,YMR277W,pp,undirected,0.968
YNL301C,YDR500C,pp,undirected,0.943
YPR182W,YBL026W,pp,undirected,0.985
YER165W,YHR077C,pp,undirected,0.965
YEL003W,YLR200W,pp,undirected,0.965
YJL177W,YGR027C,pp,undirected,0.943
YKR057W,YPL081W,pp,undirected,0.943
YNL178W,YBR247C,pp,undirected,0.951
YLR129W,YJL191W,pp,undirected,0.948
YLR025W,YPL002C,pp,undirected,0.983
YIL133C,YNL302C,pp,undirected,0.943
YOR117W,YGL048C,pp,undirected,0.985
YJL014W,YJL111W,pp,undirected,0.985
YMR229C,YCL059C,pp,undirected,0.963
YLR340W,YIL148W,pp,undirected,0.955
YLR029C,YIL018W,pp,undirected,0.943
YBR055C,YDL098C,pp,undirected,0.949
YOR369C,YOR182C,pp,undirected,0.955
YLR009W,YIL018W,pp,undirected,0.955
YHR141C,YGR148C,pp,undirected,0.943
YDR382W,YPR043W,pp,undirected,0.943
YBR088C,YBR087W,pp,undirected,0.985
YPL047W,YBR198C,pp,undirected,0.938
YMR229C,YLR222C,pp,undirected,0.985
YML012W,YGL137W,pp,undirected,0.946
YJR094W-A,YHR021C,pp,undirected,0.943
YER131W,YOL121C,pp,undirected,0.943
YGL100W,YJR042W,pp,undirected,0.982
YLR207W,YBR201W,pp,undirected,0.985
YGL194C,YMR075W,pp,undirected,0.933
YGR277C,YDR196C,pp,undirected,0.982
YLR167W,YER102W,pp,undirected,0.955
YJL109C,YPR137W,pp,undirected,0.985
YOR207C,YKR025W,pp,undirected,0.97
YCR052W,YLR357W,pp,undirected,0.943
YNL075W,YLR129W,pp,undirected,0.985
YPL249C-A,YLR048W,pp,undirected,0.943
YER169W,YDR225W,pp,undirected,0.946
YDR471W,YOR167C,pp,undirected,0.943
YJR123W,YJL191W,pp,undirected,0.955
YOL121C,YJL191W,pp,undirected,0.943
YDL083C,YNL178W,pp,undirected,0.955
YBR181C,YLR441C,pp,undirected,0.943
YKL173W,YLL036C,pp,undirected,0.995
